Nodes,processor,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company,brand,make,model,moniker,version
1,Intel Xeon E5-2699 v3,2300,2,36,72,64,271,39,2014,intel,xeon,, e5-2699,, v3
4,Intel Xeon E5-2699 v3,2300,8,144,288,256,"1,152",171,2014,intel,xeon,, e5-2699,, v3
1,Intel Xeon E5-2699 v3,2300,2,36,72,64,289,47.3,2015,intel,xeon,, e5-2699,, v3
1,Intel Xeon E3-1275Lv3,2700,1,4,8,16,60,13.3,2015,intel,xeon,, e3-1275,l,
1,Intel Xeon E5-2699 v3,2300,2,36,72,64,264,40,2015,intel,xeon,, e5-2699,, v3
1,Intel Xeon E5-2699 v3,2300,2,36,72,64,267,40.1,2015,intel,xeon,, e5-2699,, v3
1,Intel Xeon E3-1275Lv3,2700,1,4,8,16,63.9,16,2015,intel,xeon,, e3-1275,l,
1,Intel Xeon E3-1260L v5,2900,1,4,8,16,44.7,11.6,2015,intel,xeon,, e3-1260,l, v5
1,Intel Xeon E3-1260L v5,2900,1,4,8,16,47.7,16,2015,intel,xeon,, e3-1260,l, v5
1,Intel Xeon E3-1240L v5,2100,1,4,8,16,47.2,16.1,2016,intel,xeon,, e3-1240,l, v5
1,Intel Xeon E5-2699 v4,2200,2,44,88,64,243,41.7,2016,intel,xeon,, e5-2699,, v4
1,Intel Xeon E5-2699 v4,2200,2,44,88,64,241,41.8,2016,intel,xeon,, e5-2699,, v4
1,Intel Xeon E5-2699 v4,2200,2,44,88,64,255,43.6,2016,intel,xeon,, e5-2699,, v4
1,Intel Xeon E5-2699 v4,2200,2,44,88,64,266,49.6,2016,intel,xeon,, e5-2699,, v4
1,Intel Xeon E3-1230 v6,3500,1,4,8,16,56.1,13.1,2017,intel,xeon,, e3-1230,, v6
1,Intel Xeon E3-1230 v6,3500,1,4,8,16,51.8,9.33,2017,intel,xeon,, e3-1230,, v6
1,Intel Xeon E3-1230 v6,3500,1,4,8,16,51.2,12.4,2017,intel,xeon,, e3-1230,, v6
1,Intel Xeon Platinum 8176M,2100,4,112,224,192,785,148,2017,intel,xeon,platinum, 8176,m,
1,Intel Xeon Platinum 8176M,2100,4,112,224,192,773,146,2017,intel,xeon,platinum, 8176,m,
1,Intel Xeon Platinum 8176M,2100,4,112,224,192,733,94.9,2018,intel,xeon,platinum, 8176,m,
1,Intel Xeon Platinum 8176M,2100,2,56,112,192,355,57.3,2018,intel,xeon,platinum, 8176,m,
1,Intel Xeon E-2176G,3700,1,6,12,16,73.9,12.8,2018,intel,xeon,, e-2176,g,
1,Intel Xeon E-2176G,3700,1,6,12,16,71.7,10,2018,intel,xeon,, e-2176,g,
1,Intel Xeon E-2176G,3700,1,6,12,16,72.9,14.9,2018,intel,xeon,, e-2176,g,
1,Intel Xeon Platinum 8276L,2300,2,56,112,192,332,58.2,2019,intel,xeon,platinum, 8276,l,
1,Intel Xeon Platinum 8276L,2300,4,112,224,384,710,113,2019,intel,xeon,platinum, 8276,l,
1,Intel Xeon Platinum 8276L,2200,2,56,112,192,367,53.6,2019,intel,xeon,platinum, 8276,l,
4,Intel Xeon Platinum 6252,2100,8,192,384,768,"1,412",329,2019,intel,xeon,platinum, 6252,,
1,Intel Xeon Platinum 8280L,2700,2,56,112,192,388,58.3,2019,intel,xeon,platinum, 8280,l,
1,Intel Xeon Platinum 8280L,2700,4,112,224,384,808,120,2019,intel,xeon,platinum, 8280,l,
1,Intel Xeon E-2176G,3700,1,6,12,16,61.8,11.7,2019,intel,xeon,, e-2176,g,
1,Intel Xeon Gold 6252 Processor,2100,2,48,96,96,342,54.8,2019,intel,xeon,gold, 6252,,
1,Intel Xeon Gold 5220,2200,2,36,72,192,318,61.5,2019,intel,xeon,gold, 5220,,
1,Intel Xeon E-2288G,3700,1,8,16,16,56,16.3,2019,intel,xeon,, e-2288,g,
