processor_x,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
Xeon E5-2670,,xeon,, e5-2670,,,1.0,Intel Xeon E5-2670 2.60 GHz,2600.0,2.0,16.0,32,24,227,50.2,2012.0,intel,1.57,7.09,3.14,14.19,2.0
Xeon E5-2670,,xeon,, e5-2670,,,16.0,Intel Xeon E5-2670 2.60 GHz,2600.0,32.0,256.0,512,384,"3,881",828,2012.0,intel,1.62,7.58,3.23,15.16,2.0
Xeon E5-2670,,xeon,, e5-2670,,,16.0,Intel Xeon E5-2670 2.60 GHz,2600.0,32.0,256.0,512,384,"4,057",833,2013.0,intel,1.63,7.92,3.25,15.85,2.0
Xeon E5-2670,,xeon,, e5-2670,,,1.0,Intel Xeon E5-2670,2600.0,2.0,16.0,32,32,337,99.3,2012.0,intel,3.1,10.53,6.21,21.06,2.0
Xeon E5-2670,,xeon,, e5-2670,,,1.0,Intel Xeon E5-2670,2600.0,2.0,16.0,32,32,325,104,2012.0,intel,3.25,10.16,6.5,20.31,2.0
Xeon E5-2670,,xeon,, e5-2670,,,1.0,Intel Xeon E5-2670,2600.0,2.0,16.0,32,32,282,55.6,2012.0,intel,1.74,8.81,3.48,17.63,2.0
Xeon E5-2670,,xeon,, e5-2670,,,1.0,Intel Xeon E5-2670,2600.0,2.0,16.0,32,16,279,54.8,2012.0,intel,1.71,8.72,3.42,17.44,2.0
Xeon E5-2670,,xeon,, e5-2670,,,1.0,Intel Xeon E5-2670 (2.30GHz),2300.0,2.0,16.0,32,64,413,101,2012.0,intel,3.16,12.91,6.31,25.81,2.0
Xeon E5-2680,,xeon,, e5-2680,,,1.0,Intel Xeon E5-2680,2700.0,2.0,16.0,32,24,236,66.8,2012.0,intel,2.09,7.38,4.17,14.75,2.0
Xeon E5-2680,,xeon,, e5-2680,,,1.0,Intel Xeon E5-2680,2700.0,2.0,16.0,32,24,247,56.6,2012.0,intel,1.77,7.72,3.54,15.44,2.0
Xeon E5-4607,,xeon,, e5-4607,,,1.0,Intel Xeon E5-4607 2.2 GHz,2200.0,4.0,24.0,48,64,368,109,2013.0,intel,2.27,7.67,4.54,15.33,2.0
Xeon E5-4607,,xeon,, e5-4607,,,1.0,Intel Xeon E5-4607,2200.0,4.0,24.0,48,60,324,89.6,2013.0,intel,1.87,6.75,3.73,13.5,2.0
Xeon E5-4640,,xeon,, e5-4640,,,1.0,Intel Xeon E5-4640,2400.0,4.0,32.0,64,48,402,94.6,2012.0,intel,1.48,6.28,2.96,12.56,2.0
Xeon E5-4640,,xeon,, e5-4640,,,1.0,Intel Xeon E5-4640,2400.0,4.0,32.0,64,48,420,97.1,2012.0,intel,1.52,6.56,3.03,13.13,2.0
Xeon E5-4640,,xeon,, e5-4640,,,1.0,Intel Xeon E5-4640,2400.0,4.0,32.0,64,48,428,92.3,2012.0,intel,1.44,6.69,2.88,13.38,2.0
Xeon E5-4640,,xeon,, e5-4640,,,1.0,Intel Xeon E5-4640,2400.0,4.0,32.0,64,48,430,92.7,2012.0,intel,1.45,6.72,2.9,13.44,2.0
Xeon E5-4640,,xeon,, e5-4640,,,3.0,Intel Xeon E5-4640,2400.0,12.0,96.0,192,96,"1,253",283,2012.0,intel,1.47,6.53,2.95,13.05,2.0
Xeon E5-4640,,xeon,, e5-4640,,,7.0,Intel Xeon E5-4640 (Intel Turbo Boost Technology up to 2.80 GHz),2400.0,28.0,224.0,448,336,"3,331",812,2012.0,intel,1.81,7.44,3.63,14.87,2.0
Xeon E5-4650,,xeon,, e5-4650,,,1.0,Intel Xeon E5-4650 2.7 GHz (Intel Turbo Boost Technology up to 3.30 GHz),2700.0,4.0,32.0,64,32,667,134,2013.0,intel,2.09,10.42,4.19,20.84,2.0
Xeon E5-4650L,,xeon,, e5-4650,l,,1.0,Intel Xeon E5-4650L 2.60 GHz,2600.0,4.0,32.0,64,48,446,110,2012.0,intel,1.72,6.97,3.44,13.94,2.0
Xeon E5-4650L,,xeon,, e5-4650,l,,8.0,Intel Xeon E5-4650L (2.60 GHz),2600.0,32.0,512.0,1024,384,"3,997",832,2012.0,intel,0.81,3.9,1.63,7.81,2.0
Xeon E5-4650L,,xeon,, e5-4650,l,,1.0,Intel Xeon E5-4650L 2.60 GHz,2600.0,4.0,32.0,64,48,457,108,2012.0,intel,1.69,7.14,3.38,14.28,2.0
